user_id,product_id,category,timestamp
1,86,Clothing,2024-12-29 01:33:36
1,92,Beauty,2024-09-06 16:42:22
1,63,Beauty,2024-09-27 18:23:57
1,61,Books,2024-10-10 09:12:09
1,49,Beauty,2025-01-26 18:25:08
1,71,Home,2024-10-17 22:53:17
1,1,Beauty,2024-09-19 08:35:13
1,96,Home,2024-10-17 14:38:35
1,13,Books,2025-04-19 12:32:22
1,94,Clothing,2024-10-14 06:23:17
2,51,Clothing,2025-03-24 18:49:38
2,56,Beauty,2024-09-12 12:38:36
2,83,Home,2025-03-19 02:10:36
2,62,Electronics,2025-03-24 19:38:28
2,32,Electronics,2024-12-30 22:30:48
2,30,Electronics,2024-10-25 03:42:30
2,29,Clothing,2024-12-27 08:45:59
2,49,Clothing,2024-11-06 11:45:20
2,45,Home,2025-01-27 16:47:50
2,93,Beauty,2025-06-21 15:23:33
2,30,Electronics,2025-06-21 22:42:34
3,19,Home,2025-04-28 22:23:22
3,18,Home,2025-03-31 07:04:26
3,1,Beauty,2024-10-08 05:29:00
3,78,Home,2024-10-13 19:03:57
3,47,Beauty,2024-08-10 08:37:24
3,66,Books,2025-02-01 17:51:56
3,92,Beauty,2025-03-13 19:15:03
3,94,Electronics,2025-01-20 23:34:49
3,38,Electronics,2024-11-18 11:40:50
3,51,Beauty,2025-06-06 21:46:01
3,63,Books,2024-11-24 05:59:00
3,4,Books,2025-05-07 20:30:18
4,8,Electronics,2024-11-05 01:33:45
4,29,Books,2025-04-20 06:09:22
4,55,Home,2025-05-02 12:14:15
4,3,Clothing,2024-08-19 21:55:51
4,32,Home,2024-10-14 19:53:21
5,74,Electronics,2024-07-10 08:45:45
5,83,Books,2024-10-13 17:35:00
5,34,Beauty,2025-03-28 08:57:13
5,97,Clothing,2024-07-24 17:16:55
5,87,Beauty,2024-11-05 13:00:58
5,55,Electronics,2025-06-17 21:04:06
5,92,Books,2024-12-12 19:55:07
5,32,Beauty,2025-03-05 18:46:37
5,50,Beauty,2024-10-01 14:54:19
5,7,Clothing,2025-04-10 06:22:26
5,93,Clothing,2024-12-27 02:01:00
5,8,Books,2024-09-15 03:10:33
5,65,Clothing,2024-09-10 12:05:05
5,57,Beauty,2025-05-11 13:44:37
6,67,Beauty,2025-01-19 04:35:04
6,88,Electronics,2024-10-07 07:48:52
6,87,Beauty,2025-06-21 09:05:16
6,59,Books,2025-01-28 07:03:43
6,72,Home,2025-03-21 09:27:40
6,54,Electronics,2024-10-07 12:22:12
6,67,Electronics,2024-08-16 08:09:04
6,51,Books,2024-08-05 10:44:23
6,97,Books,2025-02-18 03:12:01
6,92,Clothing,2025-04-07 18:16:43
6,8,Electronics,2025-02-06 22:19:52
7,35,Clothing,2024-09-24 22:56:41
7,96,Beauty,2024-09-26 04:32:49
7,88,Electronics,2024-07-13 17:50:33
7,78,Electronics,2025-03-11 03:58:46
7,32,Home,2025-06-10 13:36:09
7,46,Electronics,2025-01-16 06:20:23
8,37,Beauty,2024-09-19 16:05:11
8,54,Clothing,2025-02-26 18:44:55
8,85,Clothing,2024-09-22 10:52:06
8,14,Home,2024-07-14 09:55:37
8,95,Beauty,2024-08-01 22:35:13
8,55,Clothing,2024-12-01 12:55:20
8,48,Books,2024-10-30 07:14:02
8,82,Beauty,2025-03-29 14:56:10
9,74,Beauty,2024-12-24 11:47:52
9,7,Home,2024-08-02 01:49:15
9,33,Clothing,2025-03-15 13:50:38
9,23,Beauty,2025-04-19 08:44:05
9,85,Clothing,2024-08-16 09:57:36
9,19,Books,2024-06-26 00:58:08
9,19,Home,2025-01-23 18:19:55
9,36,Books,2025-06-19 20:30:40
9,29,Home,2024-08-24 08:47:31
9,60,Beauty,2024-11-29 01:19:36
9,82,Home,2025-03-04 14:04:34
10,1,Electronics,2025-06-22 03:48:18
10,47,Clothing,2025-06-01 00:54:13
10,69,Clothing,2025-05-31 03:57:08
10,20,Electronics,2024-12-25 18:30:59
10,11,Books,2024-12-26 10:49:01
10,2,Electronics,2025-03-03 16:08:04
11,87,Beauty,2024-09-09 11:44:19
